Id Lat Lng Alt q0 q1 q2 q3
0 40.4399486 -79.9976529 207.8754291 0.265780 -0.022360 -0.003065 0.963769
1 40.4399400 -79.9976599 207.8571772 0.267668 -0.024215 -0.003340 0.963201
2 40.4399324 -79.9976660 207.8364352 0.268912 -0.026378 -0.003083 0.962799
3 40.4399250 -79.9976722 207.8148261 0.270237 -0.027761 -0.003051 0.962389
4 40.4399170 -79.9976787 207.7922015 0.271542 -0.029253 -0.003376 0.961976
5 40.4399076 -79.9976865 207.7616626 0.272985 -0.029474 -0.004844 0.961554
6 40.4398985 -79.9976941 207.7274356 0.274257 -0.028451 -0.006833 0.961211
7 40.4398917 -79.9976997 207.7001589 0.275092 -0.026976 -0.009134 0.960996
8 40.4398850 -79.9977053 207.6699699 0.275824 -0.026260 -0.011980 0.960775
9 40.4398777 -79.9977114 207.6374122 0.276731 -0.025218 -0.016098 0.960482
10 40.4398712 -79.9977168 207.5998309 0.277232 -0.023646 -0.017883 0.960346
11 40.4398639 -79.9977230 207.5440381 0.277454 -0.024159 -0.013676 0.960338
12 40.4398573 -79.9977285 207.4852904 0.277764 -0.021069 -0.007549 0.960389
13 40.4398508 -79.9977340 207.4515474 0.278047 -0.019862 -0.006528 0.960340
14 40.4398437 -79.9977401 207.4369976 0.278063 -0.023426 -0.010152 0.960223
15 40.4398374 -79.9977454 207.4209830 0.277761 -0.026399 -0.013639 0.960191
16 40.4398286 -79.9977529 207.3570423 0.277727 -0.024530 -0.005121 0.960333
17 40.4398222 -79.9977582 207.3042174 0.277525 -0.022483 0.002762 0.960451
18 40.4398149 -79.9977644 207.2829596 0.277240 -0.021941 0.004428 0.960540
19 40.4398085 -79.9977699 207.2935864 0.276532 -0.024161 0.000117 0.960701
20 40.4398014 -79.9977758 207.2838231 0.275901 -0.024765 -0.001964 0.960865
21 40.4397949 -79.9977813 207.2595946 0.275208 -0.023716 -0.002840 0.961088
22 40.4397885 -79.9977866 207.2483649 0.274193 -0.024037 -0.008678 0.961335
23 40.4397815 -79.9977924 207.2424994 0.273234 -0.027003 -0.016840 0.961421
24 40.4397747 -79.9977980 207.2098670 0.272520 -0.027073 -0.020002 0.961561
25 40.4397674 -79.9978040 207.1413287 0.271403 -0.024049 -0.017925 0.961998
26 40.4397575 -79.9978121 207.0656597 0.269869 -0.023786 -0.014452 0.962495
27 40.4397502 -79.9978180 207.0261393 0.268540 -0.023791 -0.015959 0.962843
28 40.4397434 -79.9978234 206.9738154 0.267644 -0.020407 -0.009880 0.963251
29 40.4397367 -79.9978288 206.9153647 0.266065 -0.018803 0.000835 0.963771
30 40.4397294 -79.9978347 206.8682537 0.264439 -0.017527 0.010413 0.964187
31 40.4397229 -79.9978399 206.8792731 0.262302 -0.016724 0.006857 0.964817
32 40.4397162 -79.9978452 206.9067148 0.260580 -0.022336 -0.000051 0.965194
33 40.4397090 -79.9978509 206.9048519 0.257837 -0.023642 -0.001047 0.965899
34 40.4397022 -79.9978561 206.8654867 0.256257 -0.018821 0.004562 0.966415
35 40.4396950 -79.9978616 206.8456243 0.252839 -0.017829 0.007397 0.967316
36 40.4396885 -79.9978665 206.8681020 0.251072 -0.019740 0.001267 0.967766
37 40.4396813 -79.9978719 206.8740300 0.248656 -0.015064 -0.005293 0.968460
38 40.4396746 -79.9978768 206.8490049 0.247930 -0.011723 -0.005023 0.968694
39 40.4396681 -79.9978816 206.8207005 0.247214 -0.011023 -0.002158 0.968896
40 40.4396607 -79.9978870 206.8091722 0.246292 -0.010853 -0.003316 0.969129
41 40.4396540 -79.9978919 206.8054376 0.245332 -0.008463 -0.007011 0.969377
42 40.4396471 -79.9978968 206.7900810 0.244095 -0.005406 -0.009527 0.969690
43 40.4396398 -79.9979020 206.7702805 0.242373 -0.001320 -0.013451 0.970089
44 40.4396328 -79.9979071 206.7472090 0.241084 0.001146 -0.014621 0.970394
45 40.4396251 -79.9979125 206.7169934 0.239613 0.001934 -0.012881 0.970781
46 40.4396182 -79.9979173 206.6779305 0.239020 0.005131 -0.009372 0.970956
47 40.4396112 -79.9979222 206.6612321 0.237441 0.005992 -0.009298 0.971339
48 40.4396033 -79.9979277 206.6567383 0.235521 0.003936 -0.012395 0.971782
49 40.4395960 -79.9979328 206.6423039 0.233931 0.003234 -0.014007 0.972147
50 40.4395889 -79.9979376 206.6174071 0.232321 0.002518 -0.014555 0.972527
51 40.4395806 -79.9979432 206.5861902 0.230899 0.002400 -0.014764 0.972863
52 40.4395732 -79.9979482 206.5615311 0.229585 0.002003 -0.015288 0.973166
53 40.4395651 -79.9979537 206.5310587 0.227720 0.001385 -0.015054 0.973609
54 40.4395575 -79.9979587 206.5025016 0.226152 0.000996 -0.015325 0.973971
55 40.4395492 -79.9979642 206.4742588 0.224620 0.001304 -0.015640 0.974320
56 40.4395416 -79.9979692 206.4459494 0.223355 0.001153 -0.015108 0.974619
57 40.4395338 -79.9979742 206.4146644 0.222267 0.001630 -0.014079 0.974883
58 40.4395253 -79.9979797 206.3830977 0.221136 0.002103 -0.012793 0.975157
